1 2020-05-11 01:16:45 Start writing StarsInMoviesRecord.
42 2020-05-11 01:16:46 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Alicia Witt -> Actor doesn't exist.
43 2020-05-11 01:16:46 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | The Ramones -> Actor doesn't exist.
44 2020-05-11 01:16:46 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Paul Bartel -> Actor doesn't exist.
45 2020-05-11 01:16:46 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Alix Elias -> Actor doesn't exist.
46 2020-05-11 01:16:46 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Jack Wayne -> Actor doesn't exist.
47 2020-05-11 01:16:46 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Jack Coleman -> Actor doesn't exist.
48 2020-05-11 01:16:46 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Kevin Colsonn -> Actor doesn't exist.
49 2020-05-11 01:16:46 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Gaston Batyi -> Actor doesn't exist.
50 2020-05-11 01:16:46 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Frederico Luppi -> Actor doesn't exist.
51 2020-05-11 01:16:46 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Thais Galizky -> Actor doesn't exist.
52 2020-05-11 01:16:46 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Francesca Bertini -> Actor doesn't exist.
53 2020-05-11 01:16:46 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Gustavo Serena -> Actor doesn't exist.
54 2020-05-11 01:16:46 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Alfredo DeAntoni -> Actor doesn't exist.
55 2020-05-11 01:16:46 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Lido Manetti -> Actor doesn't exist.
56 2020-05-11 01:16:46 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Nella Montagna -> Actor doesn't exist.
